Catalog Number,Vial #,Scientific Name,Sex,Mass Tube with Bee (g),Mass Tube (g) ,Live Mass (g),ITD (mm),CTmin,CTmax,Site,Latitude,Longitude ,Elevation,Date,Acclimation (C),Assay Start (C),Assay End (C),Acclimation (W),Assay Start (W),Assay End (W),Plant,Time Collected,(Future ) 3d Measurement,Pin Weight
UCSB-IZC00083304,B19,Bombus,,,,0.0872,,,47,Rock_1,,,10220.96,25-Jul-25,,,,12:54,13:04,14:00,,10:50,,0.0472
UCSB-IZC00083329,B20,Bombus,,,,0.1106,,,48,Rock_1,,,10220.96,25-Jul-25,,,,12:54,13:04,14:04,,10:30,,0.0472
UCSB-IZC00072880,B21,Bombus,,,,0.0951,,,48,Rock_1,,,10220.96,25-Jul-25,,,,12:54,13:04,14:05,,9:53,,0.0472
UCSB-IZC00083281,B22,Bombus,,,,0.0862,,,47,Rock_1,,,10220.96,25-Jul-25,,,,12:54,13:04,14:00,,10:50,,0.0472
UCSB-IZC00083283,B23,Bombus,,,,0.0943,,,50,Rock_1,,,10220.96,25-Jul-25,,,,12:54,13:04,14:09,,10:08,,0.0472
UCSB-IZC00083490,B24,Bombus,,,,0.0721,,,47,Rock_1,,,10220.96,25-Jul-25,,,,12:54,13:04,14:03,,10:30,,0.0472
UCSB-IZC00083576,1,Bombus,,,,0.0723,,deadBeforeStart,,Rock_1,,,10220.96,28-Jul-25,12:40,12:51,deadBeforeStart,deadBeforeStart,deadBeforeStart,deadBeforeStart,pink flower,11:19,,
UCSB-IZC00083555,2,Bombus,,,,0.0769,,deadBeforeStart,,Rock_1,,,10220.96,28-Jul-25,12:40,12:51,deadBeforeStart,deadBeforeStart,deadBeforeStart,deadBeforeStart,pink flower,11:20,,
UCSB-IZC00083550,3,Bombus,,,,0.1028,,4,52,Rock_1,,,10220.96,28-Jul-25,12:40,12:51,13:30,13:44,13:54,14:55,lupine,11:20,,
UCSB-IZC00083489,4,Bombus,,,,0.0864,,deadBeforeStart,,Rock_1,,,10220.96,28-Jul-25,12:40,12:51,deadBeforeStart,deadBeforeStart,deadBeforeStart,deadBeforeStart,pink flower,11:24,,
UCSB-IZC00072925,5,Bombus,,,,0.0825,,4,46,Rock_1,,,10220.96,28-Jul-25,12:40,12:51,13:29,13:44,13:54,14:42,pink flower,11:27,,
UCSB-IZC00072946,6,Bombus,,,,0.0756,,5,48,Rock_1,,,10220.96,28-Jul-25,12:40,12:51,13:27,13:44,13:54,14:47,pink flower,11:27,,
UCSB-IZC00083341,7,Bombus,,,,0.0682,,4,46,Rock_2,,,9891.73,28-Jul-25,12:40,12:51,13:29,13:44,13:54,14:42,pink flower,11:42,,
UCSB-IZC00072830,8,Bombus,,,,0.0674,,7,46,Rock_2,,,9891.73,28-Jul-25,12:40,12:51,13:20,13:44,13:54,14:43,pink flower,11:42,,
UCSB-IZC00083383,9,Bombus,,,,0.0725,,5,45,Rock_2,,,9891.73,28-Jul-25,12:40,12:51,13:29,13:44,13:54,14:39,pink flower,11:42,,
UCSB-IZC00083551,10,Bombus,,,,0.0730,,3,48,Rock_2,,,9891.73,28-Jul-25,12:40,12:51,13:37,13:44,13:54,14:47,lupine,11:43,,
UCSB-IZC00072934,11,Bombus,,,,0.0970,,5,48,Rock_2,,,9891.73,28-Jul-25,12:40,12:51,13:27,13:44,13:54,14:47,lupine,11:44,,
UCSB-IZC00083298,12,Bombus,,,,0.0672,,5,47,Rock_2,,,9891.73,28-Jul-25,12:40,12:51,13:27,13:44,13:54,14:45,lupine,11:45,,
